"","Topic 1","Topic 2","Topic 3","Topic 4","Topic 5","Topic 6","Topic 7","Topic 8","Topic 9","Topic 10"
"1","staying","february","lodge","home","carriage","coage","nice","home","coage","coage"
"2","spa","apartment","walking","weekend","home","recommend","villa","staying","home","close"
"3","coage","fitness","enough","recommended","warm","meagan","ihas","placeo","muri","home"
"4","pool","washe","cambridge","righonhe","nice","nice","cambridge","value","dogs","thank"
"5","welcoming","kerikeri","gardens","certainly","awesome","vacation","surrounding","bread","nice","closeo"
"6","easyo","booking","peaceful","riding","libby","absolutely","middle","greaplaceo","studio","aentiono"
"7","pip","gables","wedding","wine","coage","visit","hardo","centre","closeo","detail"
"8","warm","standard","awesome","lodge","poolable","staying","fronofhe","star","incredible","crew"
