"","Topic 1","Topic 2","Topic 3","Topic 4","Topic 5","Topic 6","Topic 7","Topic 8","Topic 9","Topic 10"
"1","glacier","walk","glacier","pools","lake","lake","walk","glacier","glacier","glacier"
"2","beautiful","lile","beautiful","quite","cruise","walk","pools","water","views","cruise"
"3","lake","glacier","cruise","iis","staff","beautiful","views","pools","lake","friendly"
"4","walk","iis","pools","friendly","views","staff","river","guides","friendly","water"
"5","many","cruise","view","water","lile","scenery","fun","cruise","small","place"
"6","pools","friendly","views","scenery","fun","helicopter","lake","nice","ride","spectacular"
"7","iis","real","ice","beautiful","water","bus","highly","small","definitely","ice"
"8","nice","beautiful","worth","allhe","ride","nice","staff","lile","nice","lake"
