"","Topic 1","Topic 2","Topic 3","Topic 4","Topic 5","Topic 6","Topic 7","Topic 8","Topic 9","Topic 10"
"1","service","lovely","nice","service","hotel","nice","service","nice","really","glacier"
"2","made","quite","helpful","nice","lovely","beautiful","really","service","lovely","helpful"
"3","lovely","really","view","menu","amazing","really","view","lunch","nice","warm"
"4","beautiful","made","amazing","lile","service","lovely","family","really","comfortable","experience"
"5","view","dinner","wine","amazing","really","glacier","comfortable","glacier","service","iis"
"6","lunch","iis","views","iis","nice","iis","people","allhe","views","beautiful"
"7","lile","rooms","coffee","walk","rooms","view","lovely","family","long","coffee"
"8","highly","experience","comfortable","bed","experience","experience","recommend","delicious","beer","enjoyed"
