"","Topic 1","Topic 2","Topic 3","Topic 4","Topic 5","Topic 6","Topic 7","Topic 8","Topic 9","Topic 10"
"1","food","food","glacier","food","amazing","food","nice","service","food","nice"
"2","service","rooms","service","nice","lile","service","helpful","amazing","lake","helpful"
"3","nice","lovely","food","beautiful","views","nice","beautiful","nice","glacier","experience"
"4","lake","lake","lovely","sound","food","hotel","iis","lake","helpful","views"
"5","lovely","hotel","location","lovely","view","views","lovely","experience","view","walk"
"6","mountains","nice","cafe","rooms","experience","view","food","views","tekapo","food"
"7","meal","lile","nice","mountains","walk","glacier","cold","highly","walk","glacier"
"8","views","experience","view","milford","fantastic","amazing","rooms","definitely","coffee","milford"
