"","Topic 1","Topic 2","Topic 3","Topic 4","Topic 5","Topic 6","Topic 7","Topic 8","Topic 9","Topic 10"
"1","beautiful","glacier","glacier","walk","amazing","pools","cruise","beautiful","glacier","glacier"
"2","sound","amazing","area","lake","water","amazing","milford","staff","views","staff"
"3","area","walk","pools","glacier","island","staff","sound","friendly","lake","beautiful"
"4","lake","staff","island","worth","friendly","views","friendly","nice","sound","place"
"5","iis","milford","history","views","iis","beautiful","glacier","recommend","island","lile"
"6","hour","lake","beautiful","fun","place","water","highly","glacier","amazing","water"
"7","pools","fantastic","fantastic","nice","cruise","glacier","walk","sound","walk","nice"
"8","ice","real","ride","ableo","hour","small","beautiful","view","definitely","walk"
