"","Topic 1","Topic 2","Topic 3","Topic 4","Topic 5","Topic 6","Topic 7","Topic 8","Topic 9","Topic 10"
"1","bar","equipped","hosts","equipped","family","glacier","glacier","great","welcome","family"
"2","restaurants","highly","equipped","placeo","placeo","placeo","hosts","park","island","extremely"
"3","walking","franz","highly","enjoyed","highly","welcome","modern","price","owners","price"
"4","franz","hosts","glacier","family","fantastic","site","fantastic","family","springs","fantastic"
"5","placeo","tekapo","modern","welcome","site","located","highly","house","welcoming","home"
"6","easy","modern","quality","restaurants","high","holiday","old","modern","meal","standard"
"7","owners","park","money","tekapo","owners","needed","check","showers","size","basic"
"8","check","fox","welcome","site","stunning","fox","enjoyed","old","old","restaurants"
