"","Topic 1","Topic 2","Topic 3","Topic 4","Topic 5","Topic 6","Topic 7","Topic 8","Topic 9","Topic 10"
"1","lunch","lovely","lovely","wine","nice","really","nice","lovely","views","nice"
"2","delicious","experience","wine","room","beautiful","menu","made","island","meal","really"
"3","dinner","wine","really","lovely","hadhe","island","wine","nice","really","room"
"4","waiheke","stay","lunch","nice","made","experience","bay","lunch","nice","lunch"
"5","room","wonderful","fantastic","really","lovely","cafe","delicious","fish","area","lovely"
"6","wonderful","delicious","small","coffee","new","coffee","highly","beach","beautiful","iis"
"7","fish","meal","coffee","iis","amazing","amazing","stay","amazing","enjoyed","experience"
"8","highly","beer","amazing","beautiful","island","room","island","experience","bay","area"
