"","Topic 1","Topic 2","Topic 3","Topic 4","Topic 5","Topic 6","Topic 7","Topic 8","Topic 9","Topic 10"
"1","coage","russell","house","poor","motel","placeo","home","restaurants","motel","duke"
"2","russell","john","dave","dirty","russell","farm","wedding","shops","equipped","russell"
"3","night","units","helen","air","owners","paul","motel","walking","owners","boatshed"
"4","coages","motel","weekend","motel","extremely","welcoming","great","motel","easy","athe"
"5","single","placeo","meals","booking","price","home","weekend","parking","mountain","marlborough"
"6","downstairs","kids","placeo","copthorne","standard","nothing","river","easy","restaurants","wedding"
"7","laundry","needed","relaxing","cold","high","owners","thanks","located","ohakune","waiheke"
"8","motel","rongo","stunning","money","night","peter","relaxing","distance","modern","ever"
