"","Topic 1","Topic 2","Topic 3","Topic 4","Topic 5","Topic 6","Topic 7","Topic 8","Topic 9","Topic 10"
"1","ray","antoinee","large","bill","accommodation","wonderful","beach","family","wonderful","property"
"2","jessie","pool","youre","beach","hanmer","helpful","accommodation","road","church","can"
"3","accommodation","real","church","make","outside","alpacas","full","large","bedroom","sound"
"4","allhe","richard","recommendhis","can","weekend","views","property","richard","property","manapouri"
"5","ideal","ofhis","real","wonderful","springs","owner","definitely","children","amazing","milford"
"6","cooked","peaceful","beach","weekend","lovedhe","appointed","owner","sheila","nighstay","holiday"
"7","impressed","delightful","views","need","views","nearby","within","appointed","village","owner"
"8","couples","thank","furnished","enjoyable","information","super","visio","welcoming","holiday","host"
